name,passmark,rank,value,price
GeForce GT 415M,319,1012,NA,
GeForce GT 420,472,920,10.27,45.99
GeForce GT 420M,543,870,NA,
GeForce GT 425M,625,776,NA,
GeForce GT 430,661,738,18.38,35.99
GeForce GT 435M,667,730,NA,
GeForce GT 440,842,581,12.03,69.99
GeForce GT 445M,1054,466,NA,
GeForce GT 520,366,977,6.11,59.99
GeForce GT 520M,381,970,6.36,59.99
GeForce GT 520MX,406,958,NA,
GeForce GT 525M,601,801,NA,
GeForce GT 530,744,658,15.19,49.0
GeForce GT 540M,649,752,NA,
GeForce GT 545,1293,388,23.27,55.59
GeForce GT 550M,718,678,NA,
GeForce GT 555M,894,555,NA,
GeForce GT 610,351,987,8.78,39.99
GeForce GT 620,430,946,10.76,39.99
GeForce GT 620M,570,830,NA,
GeForce GT 625,437,940,NA,
GeForce GT 625M,503,897,NA,
GeForce GT 630,746,654,7.52,99.21
GeForce GT 630M,687,713,NA,
GeForce GT 635,916,546,NA,
GeForce GT 635M,696,704,NA,
GeForce GT 640,1280,394,21.35,59.99
GeForce GT 640M,961,523,NA,
GeForce GT 640M LE,784,618,0.92,849.99
GeForce GT 645,2234,247,NA,
GeForce GT 645M,889,556,NA,
GeForce GT 650M,1229,410,NA,
GeForce GT 705,421,950,NA,
GeForce GT 710,680,718,17.45,38.99
GeForce GT 710M,549,854,NA,
GeForce GT 720,716,685,13.03,54.99
GeForce GT 720A,661,736,NA,
GeForce GT 720M,561,839,NA,
GeForce GT 730,921,542,15.62,58.99
GeForce GT 730A,742,661,NA,
GeForce GT 730M,833,588,NA,
GeForce GT 735M,668,728,NA,
GeForce GT 740,1571,337,16.55,94.99
GeForce GT 740M,784,617,NA,
GeForce GT 745A,1179,422,NA,
GeForce GT 745M,973,515,NA,
GeForce GT 750M,1294,387,NA,
GeForce GT 755M,1595,332,NA,
GeForce GT 820M,700,699,NA,
GeForce GT625M,528,880,NA,
GeForce GTS 160M,678,722,NA,
GeForce GTS 240,820,596,12.62,64.99
GeForce GTS 250,876,565,7.62,114.99
GeForce GTS 250M,567,834,NA,
GeForce GTS 350M,556,845,NA,
GeForce GTS 360M,757,645,NA,
GeForce GTS 450,1556,340,23.96,64.99
GeForce GTX 1050,4653,121,35.80,129.99
GeForce GTX 1050 Ti,5985,85,42.76,139.99
GeForce GTX 1050 Ti with Max-Q Design,5719,91,NA,
GeForce GTX 1050 with Max-Q Design,3907,154,NA,
GeForce GTX 1060,9067,47,35.56,254.99
GeForce GTX 1060 3GB,8954,48,52.68,169.99
GeForce GTX 1060 5GB,6150,79,NA,
GeForce GTX 1060 with Max-Q Design,7763,64,NA,
GeForce GTX 1070,11302,24,37.68,299.99
GeForce GTX 1070 Ti,12305,19,28.62,429.99
GeForce GTX 1070 with Max-Q Design,9273,42,NA,
GeForce GTX 1080,12389,18,22.53,549.99
GeForce GTX 1080 Ti,14204,9,18.21,779.89
GeForce GTX 1080 with Max-Q Design,10279,36,NA,
GeForce GTX 1660 Ti,8644,50,NA,
GeForce GTX 260,1135,436,11.91,95.38
GeForce GTX 260M,589,811,NA,
GeForce GTX 275,1243,401,10.36,119.99
GeForce GTX 280,1203,415,2.30,522.78
GeForce GTX 280M,620,778,NA,
GeForce GTX 285,1272,395,7.07,179.99
GeForce GTX 285M,734,666,NA,
GeForce GTX 295,1054,467,6.59,159.99
GeForce GTX 460,2654,220,29.49,89.99
GeForce GTX 460 SE,2256,245,14.11,159.99
GeForce GTX 460 v2,2491,228,12.46,199.99
GeForce GTX 460M,1392,364,NA,
GeForce GTX 465,2947,205,11.19,263.28
GeForce GTX 470,3602,162,6.90,522.01
GeForce GTX 470M,1949,284,NA,
GeForce GTX 480,4360,135,60.56,71.99
GeForce GTX 480M,2039,274,NA,
GeForce GTX 485M,2400,234,NA,
GeForce GTX 550 Ti,1923,289,6.69,287.59
GeForce GTX 555,2158,259,NA,
GeForce GTX 560,3118,191,8.82,353.59
GeForce GTX 560 SE,2192,254,24.37,89.99
GeForce GTX 560 Ti,3530,168,25.58,138.0
GeForce GTX 560M,1545,341,NA,
GeForce GTX 570,4417,131,44.18,99.99
GeForce GTX 570M,2024,276,NA,
GeForce GTX 580,5022,109,17.33,289.88
GeForce GTX 580M,2274,242,NA,
GeForce GTX 590,4212,143,22.90,184.0
GeForce GTX 645,1930,287,NA,
GeForce GTX 650,1833,297,12.66,144.81
GeForce GTX 650 Ti,2659,219,15.64,169.99
GeForce GTX 650 Ti BOOST,3534,166,NA,
GeForce GTX 660,4127,147,11.79,349.99
GeForce GTX 660 Ti,4662,120,14.48,321.99
GeForce GTX 660M,1440,354,NA,
