name,passmark,rank,value,price
AMD Athlon X4 620,2861,1298,47.74,59.95
AMD Athlon X4 635,2891,1290,23.71,121.99
AMD Athlon X4 640,3172,1187,NA,
AMD Athlon X4 740 Quad Core,4010,974,14.48,277.0
AMD Athlon X4 750 Quad Core,4551,870,NA,
AMD Athlon X4 750K Quad Core,4252,931,55.23,76.99
AMD Athlon X4 760K Quad Core,4593,866,109.40,41.99
AMD Athlon X4 830,4701,842,NA,
AMD Athlon X4 840,5044,783,64.06,78.74
AMD Athlon X4 845,5424,719,55.14,98.38
AMD Athlon X4 860K,5425,718,99.56,54.5
AMD Athlon X4 870K,5322,737,74.48,71.46
AMD Athlon X4 880K,5539,699,55.40,99.99
AMD Athlon X4 950,5261,742,65.29,80.59
AMD Athlon XP 1500,282,2664,NA,
AMD Athlon XP 1500+,257,2695,NA,
AMD Athlon XP 1600+,267,2685,NA,
AMD Athlon XP 1700,344,2581,NA,
AMD Athlon XP 1700+,271,2681,NA,
AMD Athlon XP 1800+,300,2630,5.10,58.95
AMD Athlon XP 1900+,312,2613,NA,
AMD Athlon XP 2000+,299,2631,12.00,24.99
AMD Athlon XP 2100+,323,2597,NA,
AMD Athlon XP 2200+,328,2596,3.87,84.95
AMD Athlon XP 2300+,464,2442,NA,
AMD Athlon XP 2400+,360,2564,4.01,89.99
AMD Athlon XP 2500+,355,2567,NA,
AMD Athlon XP 2600+,372,2548,16.18,23.03
AMD Athlon XP 2700+,393,2525,4.64,84.79
AMD Athlon XP 2800+,400,2515,NA,
AMD Athlon XP 2900+,424,2489,NA,
AMD Athlon XP 3000+,402,2512,5.05,79.7
AMD Athlon XP 3100+,433,2480,NA,
AMD Athlon XP 3200+,434,2479,NA,
AMD Athlon XP 3400+,570,2366,NA,
AMD Athlon XP Pro3+,367,2555,NA,
AMD Athlon XP-M,541,2379,15.48,34.95
AMD Athlon XP1600+,281,2665,NA,
AMD Athlon XP1900+,353,2570,NA,
AMD Athlon XP2100+,287,2655,NA,
AMD Athlon XP2200+,401,2513,NA,
AMD Athlon XP2400+,374,2544,NA,
AMD Athlon64 X2 Dual Core 4600+,1108,2071,NA,
AMD C-30,310,2615,NA,
AMD C-50,461,2446,NA,
AMD C-60,466,2439,NA,
AMD C-60 APU,544,2376,NA,
AMD C-70 APU,559,2370,NA,
AMD E-240,314,2610,NA,
AMD E-300 APU,610,2341,NA,
AMD E-350,747,2277,NA,
AMD E-350 APU,761,2269,NA,
AMD E-350D APU,726,2285,NA,
AMD E-450 APU,767,2267,NA,
AMD E1 Micro-6200T APU,960,2168,NA,
AMD E1-1200 APU,657,2319,NA,
AMD E1-1500 APU,688,2306,NA,
AMD E1-2100 APU,639,2329,NA,
AMD E1-2200 APU,767,2266,NA,
AMD E1-2500 APU,889,2212,NA,
AMD E1-6010 APU,859,2222,NA,
AMD E1-6015 APU,895,2211,NA,
AMD E1-7010 APU,998,2137,NA,
AMD E2-1800 APU,816,2246,NA,
AMD E2-2000 APU,825,2241,NA,
AMD E2-3000 APU,1094,2083,NA,
AMD E2-3000M APU,1095,2082,54.76,20.0
AMD E2-3200 APU,1394,1911,174.54,7.99
AMD E2-3800 APU,1635,1801,NA,
AMD E2-6110 APU,1906,1659,NA,
AMD E2-7110 APU,2277,1503,NA,
AMD E2-9000,1636,1800,NA,
AMD E2-9000e,1345,1938,NA,
AMD E2-9010,1745,1734,NA,
AMD E2-9030,1515,1861,NA,
AMD Embedded G-Series GX-215JJ Radeon R2E,1758,1726,NA,
AMD Embedded G-Series GX-224IJ Radeon R4E,2088,1580,NA,
AMD Embedded G-Series GX-420GI Radeon R7E,2514,1413,NA,
AMD Embedded R-Series RX-216GD,2409,1450,NA,
AMD Embedded R-Series RX-418GD Radeon R6,5068,774,NA,
AMD Embedded R-Series RX-421BD,4635,854,NA,
AMD EPYC 7251 8-Core,11344,219,22.47,504.99
AMD EPYC 7351P,15820,114,18.86,838.8
AMD EPYC 7371,22036,28,NA,
AMD EPYC 7401P,19555,56,17.20,1136.82
AMD EPYC 7501,18942,63,4.37,4333.69
AMD EPYC 7551,18483,68,3.98,4648.48
AMD EPYC 7551P,18359,69,7.92,2316.99
AMD FirePro A320 APU,4540,875,NA,
AMD FX-4100 Quad-Core,4068,964,31.30,129.99
AMD FX-4130 Quad-Core,4164,949,54.80,75.99
AMD FX-4150 Quad-Core,4594,865,NA,
AMD FX-4170 Quad-Core,4866,815,48.67,99.99
AMD FX-4200 Quad-Core,4235,935,18.56,228.21
AMD FX-4300 Quad-Core,4688,845,101.93,46.0
AMD FX-4320,5009,790,NA,
AMD FX-4330,5321,738,NA,
AMD FX-4350 Quad-Core,5341,733,23.22,229.99
AMD FX-6100 Six-Core,5386,724,21.29,253.0
AMD FX-6120 Six-Core,5731,675,NA,
AMD FX-6130 Six-Core,6215,623,NA,
AMD FX-6200 Six-Core,6125,634,18.02,339.95
AMD FX-6300 Six-Core,6387,609,93.95,67.99
AMD FX-6330 Six-Core,6916,557,NA,
AMD FX-6350 Six-Core,7001,548,53.86,129.99
AMD FX-670K Quad-Core,4550,871,NA,
AMD FX-7500 APU,3207,1178,NA,
AMD FX-7600P,4051,966,NA,
AMD FX-7600P APU,4627,856,NA,
AMD FX-770K Quad-Core,4797,828,NA,
AMD FX-8100 Eight-Core,5982,645,42.13,142.0
AMD FX-8120 Eight-Core,6600,589,66.01,99.99
AMD FX-8140 Eight-Core,6133,631,NA,
AMD FX-8150 Eight-Core,7631,492,5.28,1445.01
AMD FX-8300 Eight-Core,7730,482,85.21,90.72
AMD FX-8310 Eight-Core,7758,476,NA,
AMD FX-8320 Eight-Core,8020,454,86.26,92.98
AMD FX-8320E Eight-Core,7545,496,78.60,96.0
AMD FX-8350 Eight-Core,8948,380,137.68,64.99
AMD FX-8370 Eight-Core,9026,372,54.18,166.61
AMD FX-8370E Eight-Core,7802,472,37.15,210.05
AMD FX-870K Quad Core,5105,761,NA,
AMD FX-8800P,4136,955,NA,
AMD FX-9370 Eight-Core,9451,333,52.83,178.89
AMD FX-9590 Eight-Core,10197,267,63.75,159.95
AMD FX-9800P,3978,983,NA,
AMD FX-9830P,4733,838,NA,
AMD FX-B4150 Quad-Core,4611,862,NA,
AMD G-T40E,467,2438,NA,
AMD G-T40N,516,2395,NA,
AMD G-T40R,203,2751,NA,
AMD G-T44R,227,2726,NA,
AMD G-T48E,724,2286,NA,
AMD G-T52R,308,2617,NA,
AMD G-T56E,751,2274,NA,
AMD G-T56N,788,2259,NA,
AMD Geode NX,264,2688,NA,
AMD Geode NX 1750,291,2644,NA,
AMD GX-210JA SOC,401,2514,NA,
AMD GX-212JC SOC ,744,2279,NA,
AMD GX-217GA SOC,1103,2076,NA,
AMD GX-218GL SOC,1115,2064,NA,
AMD GX-222GC SOC,1255,1993,NA,
AMD GX-412HC,1497,1870,NA,
AMD GX-415GA SOC,1946,1640,NA,
AMD GX-420CA SOC,2412,1448,NA,
AMD GX-424CC SOC,2491,1423,NA,
AMD K7,403,2509,NA,
AMD Opteron 1210,923,2194,NA,
AMD Opteron 1210 HE,971,2157,NA,
AMD Opteron 1212,1009,2131,3.48,290.0
AMD Opteron 1212 HE,1308,1955,NA,
AMD Opteron 1214,1191,2027,4.11,290.0
AMD Opteron 1214 HE,1299,1960,NA,
AMD Opteron 1216,1311,1954,23.91,54.85
AMD Opteron 1216 HE,1172,2039,NA,
AMD Opteron 1218,1468,1880,NA,
AMD Opteron 1218 HE,1444,1890,NA,
AMD Opteron 1220,1653,1794,NA,
AMD Opteron 1222,1757,1728,NA,
AMD Opteron 1352,2316,1480,17.04,135.99
AMD Opteron 1354,2630,1369,8.49,309.97
AMD Opteron 1356,2765,1329,30.73,89.99
AMD Opteron 1381,3065,1225,NA,
AMD Opteron 140,396,2520,0.56,710.0
AMD Opteron 142,428,2485,NA,
AMD Opteron 144,486,2421,7.48,65.0
AMD Opteron 146,532,2385,8.87,59.99
AMD Opteron 148,603,2347,NA,
AMD Opteron 150,604,2345,NA,
AMD Opteron 152,658,2317,NA,
AMD Opteron 154,703,2300,NA,
AMD Opteron 165,899,2209,1.47,610.0
AMD Opteron 170,1097,2078,NA,
AMD Opteron 175,1167,2042,NA,
AMD Opteron 180,1234,2004,9.50,129.95
AMD Opteron 185,1360,1930,NA,
AMD Opteron 2212,1270,1985,105.89,12.0
AMD Opteron 2214,1358,1931,46.85,29.0
AMD Opteron 2214 HE,1415,1903,NA,
AMD Opteron 2216,1518,1859,66.00,23.0
AMD Opteron 2218,1594,1827,49.18,32.42
AMD Opteron 2220,1701,1764,1.15,1475.16
AMD Opteron 2220 SE,1398,1908,55.92,25.0
AMD Opteron 2222,1843,1694,1.11,1664.98
AMD Opteron 2224 SE,1919,1652,NA,
AMD Opteron 2350,2820,1306,10.45,269.99
AMD Opteron 2356,2814,1310,188.25,14.95
AMD Opteron 2373 EE,2789,1321,NA,
AMD Opteron 2374 HE,2951,1263,15.53,189.99
AMD Opteron 2376,2283,1500,13.69,166.81
AMD Opteron 2378,3179,1186,17.76,179.0
AMD Opteron 2380,2640,1366,105.64,25.0
